Data	MoNbTaWV_2D_karkea
Recipe	MISAC3
Points	3696
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
1	  -55692.2	  -13747.8	  -13735.1	  -13735.1	  -13735.1
2	  -55438.3	  -13137.8	  -13142.9	  -13142.9	  -13142.9
3	  -55201.8	  -12545.2	  -12551.4	  -12551.4	  -12551.4
4	  -54977.9	  -11965.3	  -11961.7	  -11961.7	  -11961.7
5	  -54747.6	  -11378.9	  -11371.7	  -11371.7	  -11371.7
6	  -54507.6	  -10782.7	  -10779.9	  -10779.9	  -10779.9
7	  -54261.3	  -10180.3	  -10189.9	  -10189.9	  -10189.9
8	  -54026.7	   -9589.9	  -9608.42	  -9608.42	  -9608.42
9	    -53816	  -9023.52	  -9039.01	  -9039.01	  -9039.01
10	  -53631.5	  -8483.11	  -8474.58	  -8474.58	  -8474.58
11	    -53453	  -7947.64	  -7897.86	  -7897.86	  -7897.86
12	  -53198.1	  -7335.37	  -7295.81	  -7295.81	  -7295.81
13	  -52871.3	  -6653.25	  -6674.83	  -6674.83	  -6674.83
14	  -52603.5	  -6030.02	  -6053.33	  -6053.33	  -6053.33
15	    -52372	  -5442.34	  -5439.63	  -5439.63	  -5439.63
16	  -52138.2	  -4851.12	  -4828.57	  -4828.57	  -4828.57
17	  -51844.6	   -4201.8	  -4219.09	  -4219.09	  -4219.09
18	    -51572	  -3575.33	  -3621.42	  -3621.42	  -3621.42
19	  -51393.9	   -3040.6	   -3042.4	   -3042.4	   -3042.4
20	  -51187.7	  -2478.21	  -2476.09	  -2476.09	  -2476.09
21	  -50977.2	  -1911.84	  -1914.08	  -1914.08	  -1914.08
22	  -50771.7	  -1350.27	  -1354.48	  -1354.48	  -1354.48
23	  -50564.1	    -787.5	  -798.893	  -798.893	  -798.893
24	  -50381.5	  -248.836	  -246.367	  -246.367	  -246.367
25	  -50195.8	   293.797	   308.152	   308.152	   308.152
26	  -49980.9	   864.676	   869.293	   869.293	   869.293
27	  -49768.7	   1433.11	   1437.61	   1437.61	   1437.61
28	  -49551.3	   2006.89	   2011.05	   2011.05	   2011.05
29	  -49324.2	   2589.94	   2586.47	   2586.47	   2586.47
30	  -49099.6	   3169.95	   3159.98	   3159.98	   3159.98
31	  -48892.3	   3733.29	   3728.86	   3728.86	   3728.86
32	  -48683.9	   4297.49	   4293.02	   4293.02	   4293.02
33	  -48480.1	   4857.14	   4853.66	   4853.66	   4853.66
34	  -48279.9	   5413.43	   5411.85	   5411.85	   5411.85
35	  -48077.2	   5971.97	   5967.94	   5967.94	   5967.94
36	  -47877.9	   6526.94	   6521.96	   6521.96	   6521.96
37	  -47685.4	   7075.16	   7076.02	   7076.02	   7076.02
38	  -47496.8	   7620.36	   7636.99	   7636.99	   7636.99
39	  -47296.6	   8179.57	   8213.46	   8213.46	   8213.46
40	  -47039.6	   8795.61	   8804.17	   8804.17	   8804.17
41	  -46731.9	   9452.65	   9391.15	   9391.15	   9391.15
42	  -46546.5	   9991.13	   9955.82	   9955.82	   9955.82
43	  -46409.4	   10486.6	   10500.9	   10500.9	   10500.9
44	  -46230.4	   11023.5	   11044.4	   11044.4	   11044.4
45	  -46019.2	   11591.9	   11596.7	   11596.7	   11596.7
46	  -45789.3	   12174.5	   12153.2	   12153.2	   12153.2
47	  -45611.3	     12709	   12707.5	   12707.5	   12707.5
48	  -45425.2	   13252.5	   13260.1	   13260.1	   13260.1
49	    -45217	   13816.2	   13814.8	   13814.8	   13814.8
50	  -45016.2	   14373.2	   14372.3	   14372.3	   14372.3
51	  -44813.4	   14932.2	   14930.8	   14930.8	   14930.8
52	  -44605.8	   15495.5	     15488	     15488	     15488
53	  -44403.6	   16052.6	   16040.9	   16040.9	   16040.9
54	  -44216.5	   16595.6	   16587.2	   16587.2	   16587.2
55	  -44030.4	   17136.6	   17126.7	   17126.7	   17126.7
56	  -43857.4	   17665.4	   17661.3	   17661.3	   17661.3
57	  -43686.8	   18192.9	   18193.6	   18193.6	   18193.6
58	  -43504.4	   18730.6	   18725.2	   18725.2	   18725.2
59	  -43329.1	   19261.4	   19255.5	   19255.5	   19255.5
60	  -43159.8	   19787.1	   19783.7	   19783.7	   19783.7
61	  -42984.2	     20318	   20308.2	   20308.2	   20308.2
62	  -42816.9	   20839.7	   20827.8	   20827.8	   20827.8
63	  -42666.7	   21345.9	     21343	     21343	     21343
64	  -42514.7	   21854.4	   21857.4	   21857.4	   21857.4
65	    -42355	   22371.3	   22374.2	   22374.2	   22374.2
66	    -42181	   22900.7	   22892.2	   22892.2	   22892.2
67	  -42013.3	   23422.7	     23406	     23406	     23406
68	  -41863.8	   23926.6	   23910.6	   23910.6	   23910.6
69	  -41728.6	   24416.7	   24404.8	   24404.8	   24404.8
70	  -41603.8	   24897.2	   24891.5	   24891.5	   24891.5
71	  -41480.1	   25376.8	   25375.2	   25375.2	   25375.2
72	  -41356.1	   25857.6	   25859.6	   25859.6	   25859.6
73	    -41221	   26348.8	     26346	     26346	     26346
74	  -41083.7	   26840.9	   26833.3	   26833.3	   26833.3
75	  -40957.2	   27323.5	   27319.9	   27319.9	   27319.9
76	  -40827.7	   27809.1	   27805.6	   27805.6	   27805.6
77	  -40695.3	   28296.8	   28290.6	   28290.6	   28290.6
78	  -40567.9	   28779.8	   28774.6	   28774.6	   28774.6
79	  -40442.5	     29261	   29258.6	   29258.6	   29258.6
80	  -40317.2	     29743	   29744.2	   29744.2	   29744.2
81	  -40183.2	   30233.4	   30232.9	   30232.9	   30232.9
82	    -40045	   30727.6	   30724.4	   30724.4	   30724.4
83	  -39904.8	   31223.3	   31216.7	   31216.7	   31216.7
84	  -39767.6	   31715.8	   31707.7	   31707.7	   31707.7
85	  -39635.3	   32203.5	   32196.4	   32196.4	   32196.4
86	  -39507.1	   32687.6	   32683.3	   32683.3	   32683.3
87	  -39378.5	   33172.3	   33169.9	   33169.9	   33169.9
88	  -39246.8	   33660.5	     33657	     33657	     33657
89	  -39109.5	   34152.9	   34143.4	   34143.4	   34143.4
90	  -38978.1	   34638.4	   34627.3	   34627.3	   34627.3
91	  -38862.1	     35111	   35108.9	   35108.9	   35108.9
92	  -38738.8	   35591.3	     35590	     35590	     35590
93	  -38605.5	   36079.7	   36071.1	   36071.1	   36071.1
94	  -38478.1	   36561.9	   36549.7	   36549.7	   36549.7
95	  -38359.8	     37035	   37023.6	   37023.6	   37023.6
96	  -38249.9	   37500.4	   37492.3	   37492.3	   37492.3
97	  -38141.5	   37964.8	   37956.7	   37956.7	   37956.7
98	  -38031.8	   38428.6	   38417.8	   38417.8	   38417.8
99	  -37935.2	   38880.8	   38877.1	   38877.1	   38877.1
100	  -37839.5	   39334.8	   39337.3	   39337.3	   39337.3
101	  -37724.5	   39805.5	   39799.5	   39799.5	   39799.5
102	    -37610	   40274.1	   40261.2	   40261.2	   40261.2
103	  -37508.3	   40730.9	     40719	     40719	     40719
104	  -37411.7	   41182.3	   41171.7	   41171.7	   41171.7
105	  -37322.6	   41626.8	     41621	     41621	     41621
106	  -37235.8	   42070.5	   42070.6	   42070.6	   42070.6
107	  -37140.4	     42523	   42523.7	   42523.7	   42523.7
108	  -37034.9	   42984.6	   42980.8	   42980.8	   42980.8
109	  -36926.7	   43448.1	     43440	     43440	     43440
110	    -36822	   43907.8	   43898.8	   43898.8	   43898.8
111	  -36723.1	   44362.9	   44355.9	   44355.9	   44355.9
