Data	MoNbTaWV_2D_silea
Recipe	MISAC3
Points	3531
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
1	  -50734.2	  -6029.56	  -6075.84	  -6075.84	  -6075.84
2	  -50369.4	  -5607.12	  -5629.28	  -5629.28	  -5629.28
3	  -50003.1	  -5183.16	  -5182.38	  -5182.38	  -5182.38
4	  -49604.1	   -4726.4	  -4723.74	  -4723.74	  -4723.74
5	  -49164.9	  -4229.44	  -4251.29	  -4251.29	  -4251.29
6	  -48739.1	   -3745.9	  -3770.98	  -3770.98	  -3770.98
7	  -48326.8	  -3275.84	  -3287.78	  -3287.78	  -3287.78
8	  -47883.2	  -2774.55	  -2803.42	  -2803.42	  -2803.42
9	  -47462.8	  -2296.42	   -2318.5	   -2318.5	   -2318.5
10	    -47043	  -1818.88	  -1831.11	  -1831.11	  -1831.11
11	  -46611.3	  -1329.43	  -1337.14	  -1337.14	  -1337.14
12	  -46151.5	  -812.016	  -832.595	  -832.595	  -832.595
13	  -45721.9	  -324.477	  -310.911	  -310.911	  -310.911
14	    -45241	   214.383	   238.027	   238.027	   238.027
15	  -44700.8	   812.426	   818.953	   818.953	   818.953
16	    -44132	   1439.13	   1423.67	   1423.67	   1423.67
17	  -43551.5	   2077.28	   2036.17	   2036.17	   2036.17
18	  -43012.9	   2673.59	    2644.5	    2644.5	    2644.5
19	  -42478.3	    3266.1	   3246.25	   3246.25	   3246.25
20	  -41932.5	   3869.67	   3841.94	   3841.94	   3841.94
21	  -41386.8	   4472.99	   4426.23	   4426.23	   4426.23
22	  -40868.6	   5048.75	   4989.04	   4989.04	   4989.04
23	  -40396.7	   5578.05	    5525.3	    5525.3	    5525.3
24	  -39973.6	   6058.96	   6042.39	   6042.39	   6042.39
25	  -39530.4	    6560.1	   6555.21	   6555.21	   6555.21
26	  -39058.7	    7089.6	   7072.75	   7072.75	   7072.75
27	  -38577.3	   7628.57	   7592.67	   7592.67	   7592.67
28	  -38126.3	    8137.3	   8109.62	   8109.62	   8109.62
29	  -37680.6	   8640.69	    8624.9	    8624.9	    8624.9
30	  -37231.8	    9147.5	   9146.28	   9146.28	   9146.28
31	  -36752.6	   9684.67	   9680.05	   9680.05	   9680.05
32	  -36249.8	   10245.3	   10224.3	   10224.3	   10224.3
33	  -35746.1	   10806.5	   10769.7	   10769.7	   10769.7
34	  -35262.9	   11347.2	   11307.2	   11307.2	   11307.2
35	  -34807.4	   11860.3	   11836.6	   11836.6	   11836.6
36	  -34360.5	   12365.4	   12367.5	   12367.5	   12367.5
37	  -33874.7	   12909.3	   12909.6	   12909.6	   12909.6
38	    -33353	   13488.7	     13462	     13462	     13462
39	  -32841.9	   14057.3	   14012.9	   14012.9	   14012.9
40	  -32361.7	   14594.8	   14551.4	   14551.4	   14551.4
41	  -31912.5	   15101.8	   15077.4	   15077.4	   15077.4
42	  -31464.7	   15607.5	   15601.4	   15601.4	   15601.4
43	  -30997.3	   16133.1	     16135	     16135	     16135
44	  -30493.4	   16694.9	   16681.8	   16681.8	   16681.8
45	  -29980.3	   17265.6	   17235.8	   17235.8	   17235.8
46	  -29480.6	   17822.8	   17787.9	   17787.9	   17787.9
47	  -29002.4	   18358.8	   18334.2	   18334.2	   18334.2
48	  -28525.4	   18893.6	     18876	     18876	     18876
49	  -28032.4	   19444.3	     19414	     19414	     19414
50	  -27549.1	     19985	   19943.2	   19943.2	   19943.2
51	  -27091.6	     20500	   20457.2	   20457.2	   20457.2
52	  -26654.4	   20994.5	   20953.3	   20953.3	   20953.3
53	  -26243.3	   21463.3	   21434.5	   21434.5	   21434.5
54	  -25835.6	   21928.6	     21908	     21908	     21908
55	  -25427.7	   22394.5	   22381.9	   22381.9	   22381.9
56	  -25008.2	     22872	   22861.1	   22861.1	   22861.1
57	  -24567.2	   23370.7	   23344.2	   23344.2	   23344.2
58	    -24134	   23861.2	   23824.6	   23824.6	   23824.6
59	  -23722.5	   24330.2	   24296.9	   24296.9	   24296.9
60	  -23324.9	   24785.5	   24760.8	   24760.8	   24760.8
61	  -22929.4	   25238.9	   25219.8	   25219.8	   25219.8
62	  -22520.6	   25705.1	   25675.4	   25675.4	   25675.4
63	    -22125	   26158.2	   26125.9	   26125.9	   26125.9
64	  -21745.4	   26595.6	   26569.1	   26569.1	   26569.1
65	    -21363	   27035.6	   27003.5	   27003.5	   27003.5
66	  -20986.7	     27469	   27427.1	   27427.1	   27427.1
67	  -20641.9	     27871	   27841.6	   27841.6	   27841.6
68	  -20320.2	   28251.2	   28257.7	   28257.7	   28257.7
69	  -19955.8	   28674.5	   28690.1	   28690.1	   28690.1
70	  -19531.6	   29156.3	   29143.2	   29143.2	   29143.2
71	    -19107	   29638.4	   29606.7	   29606.7	   29606.7
72	    -18697	   30105.8	   30065.5	   30065.5	   30065.5
73	  -18304.4	   30555.5	   30508.6	   30508.6	   30508.6
74	  -17941.5	   30975.5	   30930.9	   30930.9	   30930.9
75	  -17605.1	   31369.5	   31332.3	   31332.3	   31332.3
76	  -17275.9	     31756	   31713.2	   31713.2	   31713.2
77	  -16963.1	   32125.5	   32072.8	   32072.8	   32072.8
78	  -16697.8	   32448.1	   32414.4	   32414.4	   32414.4
79	  -16450.5	   32753.4	   32753.6	   32753.6	   32753.6
80	  -16186.8	   33076.2	   33117.4	   33117.4	   33117.4
81	  -15852.6	   33470.5	   33532.8	   33532.8	   33532.8
82	  -15408.5	   33973.7	   34010.8	   34010.8	   34010.8
83	  -14900.3	   34539.9	   34541.5	   34541.5	   34541.5
84	  -14382.5	   35115.7	   35104.1	   35104.1	   35104.1
85	  -13851.9	   35703.9	   35680.8	   35680.8	   35680.8
86	  -13330.2	   36283.5	   36261.3	   36261.3	   36261.3
87	  -12805.4	   36866.1	   36840.6	   36840.6	   36840.6
88	  -12280.8	     37448	   37415.9	   37415.9	   37415.9
89	  -11776.5	   38010.1	   37985.6	   37985.6	   37985.6
90	  -11268.1	   38576.4	   38547.8	   38547.8	   38547.8
91	  -10754.9	   39146.4	   39097.8	   39097.8	   39097.8
92	  -10283.3	   39675.1	   39629.9	   39629.9	   39629.9
93	  -9836.89	     40179	   40142.1	   40142.1	   40142.1
94	  -9399.98	   40673.2	   40637.8	   40637.8	   40637.8
95	  -8979.48	   41150.9	   41124.2	   41124.2	   41124.2
96	  -8578.99	   41610.1	   41612.7	   41612.7	   41612.7
97	  -8140.44	   42107.6	   42115.7	   42115.7	   42115.7
98	     -7656	   42649.6	   42637.4	   42637.4	   42637.4
99	  -7176.79	   43187.2	   43171.7	   43171.7	   43171.7
100	  -6673.78	   43747.2	   43706.3	   43706.3	   43706.3
101	   -6202.3	   44275.7	   44228.3	   44228.3	   44228.3
102	  -5754.98	   44779.8	   44729.2	   44729.2	   44729.2
103	  -5345.18	   45246.7	     45209	     45209	     45209
104	  -4957.29	   45692.9	   45675.3	   45675.3	   45675.3
105	  -4548.09	   46159.5	   46137.6	   46137.6	   46137.6
106	  -4148.03	   46617.4	   46601.9	   46601.9	   46601.9
107	  -3742.62	   47081.4	   47070.2	   47070.2	   47070.2
108	  -3306.11	   47574.9	   47539.5	   47539.5	   47539.5
109	  -2897.23	   48040.6	   48004.5	   48004.5	   48004.5
110	   -2516.8	   48479.2	   48466.2	   48466.2	   48466.2
111	  -2120.95	   48933.6	   48934.3	   48934.3	   48934.3
112	  -1698.99	   49414.3	   49418.8	   49418.8	   49418.8
113	  -1243.04	   49928.7	   49921.1	   49921.1	   49921.1
114	  -763.575	   50465.4	   50432.5	   50432.5	   50432.5
115	  -301.833	   50983.4	   50941.7	   50941.7	   50941.7
116	   112.521	   51456.8	   51443.6	   51443.6	   51443.6
117	   571.127	   51972.6	   51936.9	   51936.9	   51936.9
118	   1011.66	   52469.4	   52416.9	   52416.9	   52416.9
119	   1405.36	   52920.2	   52877.8	   52877.8	   52877.8
120	   1781.33	   53353.4	   53321.7	   53321.7	   53321.7
121	   2143.46	   53773.2	   53759.4	   53759.4	   53759.4
122	   2502.43	   54192.1	   54204.1	   54204.1	   54204.1
123	   2932.17	   54679.6	   54659.9	   54659.9	   54659.9
124	   3362.96	   55166.5	   55117.5	   55117.5	   55117.5
125	   3743.34	     55604	   55564.7	   55564.7	   55564.7
126	   4105.89	     56024	   56001.1	   56001.1	   56001.1
127	   4463.23	   56439.9	   56438.4	   56438.4	   56438.4
128	   4845.35	   56881.2	   56890.2	   56890.2	   56890.2
